[[RANDOM]]
N   	 Selection   	 Insertion   	 Merge   	 Heap   	 Quick   	 Counting
2000 	 0.221598 	 0.205491 	 0.009807 	 0.012186 	 0.008005 	 0.005801
4000 	 0.756923 	 0.776259 	 0.019200 	 0.027193 	 0.015407 	 0.008207
6000 	 1.579347 	 1.877364 	 0.028196 	 0.045809 	 0.024197 	 0.007995
8000 	 3.160456 	 3.452211 	 0.041603 	 0.063007 	 0.038187 	 0.010599
10000 	 4.607796 	 4.960585 	 0.053204 	 0.083047 	 0.041194 	 0.009194
12000 	 6.542650 	 6.877922 	 0.065388 	 0.101809 	 0.049447 	 0.009994
14000 	 8.907999 	 9.425696 	 0.077640 	 0.117209 	 0.057587 	 0.011202
16000 	 11.367384 	 12.593626 	 0.089652 	 0.142670 	 0.068196 	 0.012585
18000 	 15.125966 	 16.737396 	 0.099843 	 0.158849 	 0.078050 	 0.014388
20000 	 17.416149 	 19.646700 	 0.112601 	 0.184895 	 0.089391 	 0.016005

[[REVERSE]]
N   	 Selection   	 Insertion   	 Merge   	 Heap   	 Quick   	 Counting
2000 	 0.227263 	 0.359982 	 0.007018 	 0.012000 	 0.005000 	 0.004000
4000 	 0.848410 	 1.741458 	 0.015971 	 0.026026 	 0.010000 	 0.005000
6000 	 1.682475 	 3.601115 	 0.024000 	 0.041026 	 0.018974 	 0.004999
8000 	 3.423781 	 6.153999 	 0.033971 	 0.058028 	 0.021997 	 0.006999
10000 	 5.180551 	 9.887800 	 0.046977 	 0.073994 	 0.038029 	 0.010000
12000 	 7.013638 	 13.686327 	 0.057001 	 0.091999 	 0.038029 	 0.007999
14000 	 9.768464 	 22.045514 	 0.061998 	 0.111003 	 0.042971 	 0.011000
16000 	 13.434961 	 24.841860 	 0.071000 	 0.128000 	 0.047004 	 0.025212
18000 	 15.550589 	 31.046054 	 0.083998 	 0.156999 	 0.057002 	 0.013998
20000 	 22.364054 	 37.698181 	 0.090996 	 0.187974 	 0.063001 	 0.015000

[[SORTED]]
N   	 Selection   	 Insertion   	 Merge   	 Heap   	 Quick   	 Counting
2000 	 0.224995 	 0.000000 	 0.008000 	 0.013999 	 0.005001 	 0.003999
4000 	 0.697253 	 0.000000 	 0.016000 	 0.031974 	 0.013000 	 0.004000
6000 	 1.897455 	 0.001018 	 0.023970 	 0.046029 	 0.019978 	 0.005998
8000 	 2.756693 	 0.001993 	 0.034000 	 0.062029 	 0.022971 	 0.007002
10000 	 4.655906 	 0.001999 	 0.041995 	 0.092000 	 0.033001 	 0.009026
12000 	 6.785668 	 0.002000 	 0.054973 	 0.100029 	 0.037000 	 0.008972
14000 	 9.032154 	 0.003976 	 0.068001 	 0.123023 	 0.043000 	 0.010001
16000 	 11.738557 	 0.005002 	 0.072999 	 0.155994 	 0.051008 	 0.011998
18000 	 17.366434 	 0.004000 	 0.081977 	 0.158022 	 0.054977 	 0.014999
20000 	 18.076473 	 0.004977 	 0.095998 	 0.181025 	 0.063976 	 0.013024

[[NEARLY SORTED]]
N   	 Selection   	 Insertion   	 Merge   	 Heap   	 Quick   	 Counting
2000 	 0.251204 	 0.041996 	 0.008005 	 0.016024 	 0.005000 	 0.004000
4000 	 0.745980 	 0.176294 	 0.018026 	 0.033000 	 0.012977 	 0.005000
6000 	 2.001495 	 0.443029 	 0.025976 	 0.046023 	 0.017972 	 0.006011
8000 	 2.799687 	 0.713298 	 0.042001 	 0.062000 	 0.026983 	 0.006988
10000 	 4.892983 	 1.176182 	 0.049023 	 0.094000 	 0.031977 	 0.010007
12000 	 7.408969 	 1.614247 	 0.065000 	 0.101000 	 0.038976 	 0.009024
14000 	 9.421138 	 2.323431 	 0.075000 	 0.126000 	 0.061372 	 0.012000
16000 	 12.016781 	 2.778417 	 0.084977 	 0.143285 	 0.054978 	 0.011995
18000 	 15.108695 	 3.699401 	 0.099000 	 0.173021 	 0.061002 	 0.013977
20000 	 18.416066 	 4.455977 	 0.110000 	 0.196997 	 0.071002 	 0.013993
