N 	 vDP 		 tDP 		 vGreedy 	 tGreedy 	 %
100 	 200 		 0.0020 	 199 		 0.0010 	 99.50%
200 	 1800 		 0.0090 	 1800 		 0.0070 	 100.00%
300 	 2400 		 0.0180 	 2400 		 0.0080 	 100.00%
400 	 1200 		 0.0360 	 1200 		 0.0100 	 100.00%
500 	 2000 		 0.0430 	 2000 		 0.0160 	 100.00%
600 	 1500 		 0.0680 	 1500 		 0.0190 	 100.00%
700 	 2100 		 0.1290 	 2100 		 0.0840 	 100.00%
800 	 5600 		 0.2830 	 5600 		 0.1010 	 100.00%
900 	 5400 		 0.2110 	 5400 		 0.1290 	 100.00%
1000 	 8000 		 0.2080 	 8000 		 0.1170 	 100.00%
1100 	 6600 		 0.2300 	 6600 		 0.1260 	 100.00%
1200 	 12000 		 0.2770 	 12000 		 0.1540 	 100.00%
1300 	 10400 		 0.3120 	 10400 		 0.1870 	 100.00%
1400 	 9800 		 0.3790 	 9800 		 0.2140 	 100.00%
1500 	 4500 		 0.4770 	 4500 		 0.2790 	 100.00%
1600 	 16000 		 0.6570 	 16000 		 0.3280 	 100.00%
1700 	 17000 		 0.5980 	 17000 		 0.3440 	 100.00%
1800 	 9000 		 0.9330 	 9000 		 0.4020 	 100.00%
1900 	 9500 		 0.7710 	 9500 		 0.4280 	 100.00%
2000 	 7000 		 0.8110 	 7000 		 0.2600 	 100.00%
